agyögwëh	agyö gwë h
onegase:’	o neg a se:’
osgë’sä’	o sgë’sä ’
hegajisdayë’	he ga jisd a yë’
o’ge’	o’ g e ’
sahsot	sa hsot
osheä’	o sheä ’
deh	deh
akniowih	akni owi h
ëdwasgawagë’t	ë dwa sgawagë’ t
deatahgwa’	de atahg wa’
niyagoyë’hë’ök	ni yago yë’ hë’ ö k
agataë’	ag ata ë ’
ëdwayä’dak	ëdwa yä’d a k
ëyodiowi’	ë yodi owi ’
nihšönih	ni hš öni h
ënötšonyanö:’	ënö tšony anö :’
niyohsoh	ni yo hso h
gaheneh	ga hene h
deyeyëhö:’	de ye yëhö :’
ëswaga’ëyö:’	ëswa ga’ëyö :’
swaya’dawës	swa ya’d a wë s
adi’gwah	adi’gwah
ëhse’sek	ë hs e’s ek
ögawih	öga wi h
aeyetiowi’	ae yeti owi ’
osgwai’da’	o sgwai’da ’
tah	tah
adigë’	adi gë ’
wa’eya’dageha’	wa’ e ya’d a geh a’
öknyaja’dagehas	ökny aja’d a geh as
ögwadä’swiyoh	ögwa dä’s wiyo h
gëhga:’	gë hga :’
ësknigë’	ë skni gë ’
gwas’öweh	gwas’öweh
ëdzödatewat	ë dzö datewat
ënöhdëdi’	ënö hdëdi ’
so’t	so’t
de’swadënök	de’ sw adë nök
sniyë’he’öh	sni yë’ he’ ö h
ayodekak	a yo deka k
adaödö:’	ada ödö :’
aedwahdëdi’	ae dw ahdëdi ’
dakniya’dowet	d a kni ya’dowet
wonökdë’	wo nökdë ’
niyoh	niyoh
hagëhjih	ha gëhji h
aeowi’	ae owi ’
sheawakshö’	she awak shö’
ho’gaeyeät	ho’ ga eyeät
agwasöyö’	agwa söyö ’
deyagwa’nya:’	de yagwa ’nya :’
tionöjeëh	ti o nöjeë h
ëhsahdoh	ë hs ahdo h
shodönih	s ho döni h
agegë’	a ge gë’
nagayëök	na ga yëö k
deadenyös	de adenyös
ähdahgöh	ähdahgö h
esniögo’	e sni ögo’
nodiya’dawëh	n odi ya’d a wë h
ëhsehšöni’	ë hse hšöni ’
wayajëgwah	wa y ajëgwah
hodawëh	ho dawë h
dayökisnyek	da yöki snye k
is’ah	is’ah
gano’gä:’	ga no’gä:’
wadigëhjishö’öh	wadi gëhji shö’öh
ëyaknihodö:’	ë yakni hodö :’
ëyagwaganya’k	ë yagwa ganya’ k
ga’nö’	ga ’nö’
ëdwayëtwahshö’	ë dwa yë twah shö’
gadi’gwah	gadi’gwah
jëih	jëih
ëwötganye:’	ë wö t ganye :’
ëseganya’k	ë se ganya’ k
da’ayo’dëök	da’ a yo’dë ök
ayakniyeä’dak	a yakni yeä’da k
yeya’däje’s	ye ya’dä je’ s
ögida’	ög ida’
o’watganya’t	o’ w at ganya’ t
dëöwödinönyök	d ë öwödi nönyö k
eswajeä’t	e sw ajeä’ t
waöwödiya’dagëyadë’	wa öwödi ya’d a gë yadë’
todinösgwayëda’s	t odi nösgwa yëda’s
waodë:’	wa o dë :’
haya’da:’	ha ya’da :’
hnyatganya’ta’	hny at ganya’ ta’
ögwayëtwëh	ögwa yë twë h
dënöhsëto’	d ënö hsët o’
netgadeh	n e t ga de h
da’deta’nigöëyei’	da’ de ta ’nigöë yei ’
swadö’s	sw adö’ s
ogwa’	ogwa’
dëhsek	d ë hs e k
ëinösgo’	ë inös go’
ësninöe’t	ë sni nöe’ t
ohsohgwa’	o hsohgwa ’
hëswe’sek	h ë sw e’s e k
negë’weëh	ne g ë’weë h
öknyadehsa’öh	ökny adehsa’ öh
o’sniya’dageha’	o’ sni ya’d a geh a’
hëswayö’	h ë swa yö ’
wa’öjo’data’	wa’ ö jo’dat a’
ökiyësdanih	öki yës dani h
ëshaknidë:’	ë shakni dë :’
ëhsajënöni’	ë hs ajënöni ’
o’we:’	o’ w e :’
o’wadiatödat	o’ w adiatödat
awënö’hödë’	a wënö ’hö dë’
saënödiwahšoni’	saënödiwahšoni’
ënö’hödë’	ënö ’hö dë’
ëwödihodö:’	ë wöd ihodö :’
dësnyadawënye:’	dë sny ada wënye :’
aeshehnigë’	ae shehni gë ’
ëyagogë’	ë yago gë ’
yödowis	yö dowi s
ëyagoyëto’	ë yago yëto ’
ëswadeyës	ë sw ade yës
heowih	he owi h
swatgatwëh	sw atga twëh
de’gëh	de’ g ë h
gahänöge’	ga hänöge ’
oneganos	o nega no s
waonënöeta’	waonë nöet a’
gwayënëda’t	gwa yënëda’ t
ögwahodö’	ögwa hodö ’
deyedenyös	de ye denyös
nigaëno’dë’s	ni gaën o’dë ’s
ëhsadeköni’	ë hs adeköni ’
döwöshanis	d öwö shani s
aganösgo’	a ga nös go’
osgatgwa’t	o sgatgwa’t
yöhseta’	yö hse ta’
nijodagöh	ni jodagö h
ëödiyënëda’t	ë ödi yënëda’ t
ëyagwak	ë yagwa k
wa’otgato’	wa’ o t ga to’
ëyeadö:’	ë ye adö :’
ësnyahdëdi’	ë sny ahdëdi’
wahegë’	wahe gë ’
hösayö’	hösa yö ’
aeswagë’	ae swa gë ’
ëne’sek	ë n e’s e k
dayë’	da yë ’
hadowis	h adowi s
gyä:’ta’	gy ä:’ ta’
gahodögwa’shä’	ga hodögwa’ shä’
hadinähgwis	hadi nähgwi s
aknigë’	akni gë ’
agagweni’	a ga gweni ’
išnye’s	i šnye’s
ëwötgweni’	ë wö t gweni ’
naeswaje:’	nae sw aje :’
jigwashöh	jigwashöh
ashagodiya’dageha’	a shagodi ya’d a geh a’
niayëno’dëh	ni a yën o’dë h
ogo’dza’	ogo’dza’
ëyedzëö’	ë ye dzëö ’
o’töwödi’oäk	o’t öwöd i’oä k
eswajoek	esw ajoe k
nëödiye:’	n ë ödi ye :’
niyoshedëh	ni yo shedë h
snyadawëh	sny adawë h
waënöhget	wa ënö hget
keshe’s	ke she’ s
ëwënö’hödë’	ë wënö ’hö dë’
ganöhses	ga nöhs es
hase’sek	h a s e’s ek
o’gata’dö:’	o’ g ata’dö :’
sgidës	sg idë s
shökniya’dagehas	shökni ya’d a geh as
ëyökigë’	ë yöki gë ’
nëge:’	n ë g e :’
ojanön	o janö n
jöëdzade’	j öëdza de’
haksa’gowah	ha ksa’ gowah
nidwayeha’	ni dwa ye ha’
hatganya’ta’	h at ganya’ ta’
wa’ökigwat	wa’ öki gwat
ëshakniowi’	ë shakni owi ’
wa’aknyatgweni’	wa’ akny at gweni ’
hënödaöhgwa’	hënö daöhgwa’
waöwöya’dageha’	wa öwö ya’d a geh a’
ëhseadö:’	ë hse adö :’
ëyänötgëni’	ë yä nötgëni ’
hönötöde’	hönö töde ’
wadi’hasdëh	wadi ’hasdë h
swadeyëstöje’	sw ade yë stö je’
niënö’s’ah	ni ënö’s’ ah
eskniya’dageha’	e skni ya’d a geh a’
aga’hödë’	aga ’hö dë’
ëyöknënöeta’	ë yökn ënöet a’
weëh	weëh
ëdwajeën	ë dw ajeë n
gonöhdö’	go nöhdö ’
dwahseta’	dwa hse ta’
waodi’se:’	wa odi ’se :’
nisgawëno’dëh	ni s ga wën o’dë h
o’tënödeni’	o’t ënö deni’
ökiyashähgwanih	öki yashähgw anih
oänöwëh	o änöwë h
tösagajo:’data’	tösa g ajo:’dat a’
ögwaiwihsa’öh	ögwa iwi hsa’ öh
de’swaiwayëdeih	de’ swa iwa yëdei h
ëgatganya’t	ë g at ganya’ t
aedwanöe’t	ae dwa nöe’ t
aënöet	a ënöet
ëshögwaowi’	ë shögwa owi ’
ëwënödowi’	ë wënö dowi ’
nigaya’do’dëh	ni ga ya’d o’dë h
waönënöje’	wa önënö je ’
dawatak	da w atak
deniyasheh	de ni yasheh
do’ogwënöhdö’	do’ ogw ënöhdö ’
aesnihodö:’	ae sni hodö :’
ayötga’	a yö tga’
dewënödënöde:’	de wënö dënöde :’
gajihsa’	ga jihs a’
gëögwas	gë ögwas
wadöišök	w adöišök
yö’höta’	yö ’hö ta’
gaswëhda’	ga swëhd a’
aishe:’	ai she :’
dagö’	d a gö ’
wa’osdëöjehsö:’	wa’ o sdëöjehsö :’
wa’öhdëdi’	wa’ ö hdëdi’
osnö’	o snö ’
hösanöe’öh	hösa nöe’ öh
onökdëh	o nökdë h
dwajënönih	dw ajënöni h
sageodönyöh	sa geodö nyö h
wa’ögwaowi’	wa ’ö gwaowi ’
asnishe:’	a sni she :’
yejëönyanih	ye jëöny ani h
aknyahseta’	a kny ahse ta’
ëyosdëödi’	ë yo sdëödi’
wa’oyahje’	wa’ o yah je’
o’sadënodë’	o’ s ad ëno dë’
ayagogweni’	a yago gweni ’
daeswahsëto’	d ae sw ahsët o’
etino’ëh	eti no’ëh
söde’	söde’
hehsegëh	he hse gë h
o’hasdaje’	o ’hasd a je’
ahsatgweni’	a hs at gweni ’
dwënö’geäta’	d w ënö’geät a’
aesniköni’	ae sni köni ’
gaë’	ga ë ’
awahset	a w ahset
waöwaowi’	waöwa owi ’
dëte’	d ë t e ’
wayënëda’t	wa yënëda’ t
nioshiya’göh	ni o shiya’ göh
eswade’go’	e sw ade’ go’
ëwögegë’	ë wöge gë ’
ha’deyogäëh	ha’ de yo gäë h
adojak	a dojak
gwenyöh	gwe nyöh
wa’öhsawë’	wa’ ö hsa wë’
nigaëno’dëh	ni ga ën o’dë h
ëhsades’a:’	ë hs ades’ a:’
de’oyëdet	de’ o yëdet
o’nigöë’	o’nigöë ’
ëösgatgwëh	ëö sgatgwë h
gyögwas	gy ögwas
niyawëh	ni ya wë h
dewënishägeh	de w ëni shä geh
ayaknidë:’	a yakn idë :’
o’ke’daswaëh	o’ ke ’da swa ë h
kewakshö’	ke wak shö’
waënëdöishë:’	wa ënë döi shë :’
dëöwödišnyeh	dë öwödi šnye h
agwahdöh	agw ahdö h
tayögwayëdak	ta yögwa yë dak
wënitšiyoh	w ëni tšiyoh
ha’degya’dih	ha’ de g ya’d ih
de’osde’	de’ o sde ’
edwajo’dahsi’	e dw ajo’d a hsi’
heyagwë’jödak	he yagw ë’jödak
eswëögo’	e swë ögo’
wadigwenye’s	w adi gwenye’ s
wasödagwegöh	w asöd a gwegöh
wa’akniyë’he’t	wa’ akni yë’ he’ t
yakgeöhëd	yakgeöhëd?
shögwagëh	shögwa gë h
wa’aknyahget	wa’ akny ahget
gyadahseta’	gy ada hse ta’
agwë’	agw ë ’
da’ögwatödëh	da’ ögw atödë h
shesniya’dagehëh	shesni ya’d a geh ëh
de’	de’
tade’	t a de ’
hegi’jö’	he g i’jö ’
dekniyasheh	de kni yashe h
ëdashësnye:’	ëda shë snye :’
onödza’	o nödz a’
ëgiwa’hödë’	ë g iwa ’hö dë’
waënödöišök	wa ënö döišök
agegë’	a ge gë ’
otsinöhgë’da’	o tsinöhgë’d a’
o’wajesa’ge’he’t	o’ w ajesa’ge’ he’ t
ëyökinöe’t	ë yöki nöe’ t
todinökdanineh	t odi nökdanineh
o’gyajowi’	o’ gy ajowi ’
daoiwadiyötas	da o iwa diyötas
ëgyadojak	ë gy adojak
agatši’waë’	a g atši’wa ë ’
ahsadadeha’t	a hs adadeha’t
höweh	h öwe h
hëöknö’kwë’öh	h ëök nö’kwë’ öh
o’sgeowi’	o’ sge owi ’
ëyödahset	ë yö dahse t
iat	i a t
ëknihšöni’	ë kni hšöni ’
awë’öjeh	awë’öjeh
o’ënöhdönyö:’	o’ënöhdö nyö :’
etinöe’öh	eti nöe’öh
goshe’s	go she’ s
aiyë’he’t	a i yë’ he’ t
dëswanöönyö:’	d ë swa nöö nyö :’
esnigo’	e sni go ’
hoio’daje’s	ho io’da je’s
gidöh	g idö h
yese’s	y ese’s
ödaë’ska:’	ödaë’ska:’
wadë’gwäyë:’	w adë’gwä yë:’
ganöhgwa’tšiyoh	ga nöhgwa’ tš iyo h
dedwadawënyeh	de dw ada wënye h
aedwagweni’	ae dwa gweni ’
o’keya’dat	o’ ke ya’da t
ëhnënöhdönyö:’	ë hn ënöhdö nyö :’
o’tadiwaë’	o’t ad iwa ë ’
dayakninöönyö:’	d a yakni nöö nyö :’
o’tadeyëöhs	o’ t ade yëö s
dejojëhdöh	de j o jëhdö h
swa’höta’	swa ’hö ta’
o’wade’go’	o’ w ade ’go’
ësgwëdë:’	ë sgwë dë :’
ögadiwajeö’	ög ad iwa jeö’
aehniyë’he’t	ae hni yë’ he’ t
ësageodönyö’	ë sageodö nyö’
hadiyasta’	hadi yas ta’
hodikwa’	hodi kwa ’
wa’aknyatga’	wa’ akny atga’
ëyökiyadowi’	ë yöki y adowi ’
swaowih	swa owi h
gaiwawetahöh	ga iwa wetahöh
ëödiyë’he’t	ëö di yë’ he’ t
ëöya’k	ë ö ya’ k
wiyos	w iyo s
wa’agwaë’he’t	wa’ agwa ë’ he’ t
satganya’ta’	s at ganya’ ta’
dëödisnye’	d ë ödi snye ’
ëösatahas	ëös ataha s
swadawëh	sw adawë h
ëyagwe’sek	ë yagw e’s e k
ögadä’swë’t	ögadä’swë’t
ehnië’	e hni ë ’
yedake’s	ye dake’ s
sagwenyöh	sa gwe nyö h
niyögyajeëh	ni yögy aje ëh
awadaöhdiyos	a w adaöhd iyos
dëdwadeni’	d ë dw adeni ’
jagwanöge’	j agwa nöge ’
edwatganye:’	e dw at ganye :’
shehnigëh	she hni gë h
gawišoa’	ga wišo a’
ëwödigo’	ë w ödi go ’
aodi’nigöëyëda’t	a odi ’nigöë yë da’ t
edwatgweni’	e dw at gweni ’
gäidodö’	gäid o dö’
hehne:’	he hn e :’
agwasöweh	agwa söwe h
ëga’hödë’	ë g a’hö dë’
ëyagogeodönyö’	ë yago geodö nyö’
de’jawë’öh	de’jawë’öh
ha’degoshäeh	ha’ de goshä eh
hëyagwaisak	h ë yagwa isa k
dagegë’	da ge gë ’
o’wadiköni’	o’ w adi köni ’
gono’kwë’öh	go no’kwë’ öh
hënöhdëje’s	hënö hdëje’s
hehne’sgwa’	he hn e’s gwa’
shagodinöe’s	s hagodi nöe’ s
wa’oyë’gwahsöwi’	wa’ o yë’gwahsöwi’
ëswatgweni’	ë sw at gweni ’
hadiyastak	hadi yasta k
ahseadö:’	a hse adö :’
haeswe’sek	h ae sw e’s e k
wa’akniyeä’dak	wa’ akni ye ä’dak
ësnyadzët	ë sny adzët
ëödiya’k	ë ödi ya’ k
tagatgëh	t a g at gë h
deyodetgwëhdëön	de yo detgwëhdëö n
swatganya’döh	sw at ganya’ dö h
o’shögwagë’	o’ shögwa gë ’
ëyökigë’	ë yöki gë ’
gya’dagehas	g ya’d a geh as
ëhsahdëdi’	ë hs ahdëdi’
ëyetiya’dageha’	ë yeti ya’d a geh a’
knidës	kn idë s
haša’däje’t	h a ša’d äje’t
öknyaja’dageh	ökny aja’d a geh
gešnye’s	ge šnye’s
ëswë’	ë sw ë’
nö’saje’	n ö’ s aje ’
ho’gya’däje’t	h o’ g ya’d äje’t
edwadojak	e dw adojak
gyënëda’t	g yënëda’ t
ëgatödë’	ë g atödë ’
ësganenö:’	ë s ga nenö :’
ëgatši’waë’	ë g atši’wa ë ’
hoshani’öh	ho shani’ ö h
deögwënöhdö’	de ögw ënöhdö ’
yeyasöh	ye yas öh
wa’ödö’	wa’ ö dö ’
nödayawëh	nödayawë h
ëyetšishe:’	ë yetši she :’
ëgöganya’gë’	ë gö ganya’ g ë’
o’wënödaöhdiyos	o’ wënö da öhd iyos
ëödiya’dageha’	ë ödi ya’d a geh a’
wa’ënö’geät	wa’ ënö’geät
ohsinö’da’	o hsinö’d a’
onënöete’s	o nënöete’ s
hedwe’sgwa’	he dw e’s gwa’
odiya’göh	odi ya’g öh
hadiatödas	hadi atödas
ganödaseonö’	ga nöd a se onö’
dëhninöönyö:’	dë hni nöö nyö :’
heyotwadaseh	he yo twadase h
hodiyëdö’	hodi yëd ö’
niadö’s	ni adö’ s
waënödetgayas	wa ënö detgaya s
ënöjä:’dak	ënö jä:’da k
deyögwadöëdzonih	de yögwa döëdzoni h
šeä’dahgwa’	šeä’dahgwa’
watgwë:’	w atgwë :’
agënö’geädöh	ag ënö’geäd öh
o’sagweni’	o’ sa gweni ’
dëyadahnoöhgwak	dë y adah noöhgwak
snyadojas	sny adoja s
waya’dageha’	wa ya’d ageh a’
desnyadënöde’	de sny adënöde’
aknyadaöhdiyosta’	akny ada öhd iyo sta’
sekönih	se köni h
daeyö’	d a e yö ’
onähda’	o nähd a’
degönyahsöhs	de gö nyahs öhs
ashögwaya’dageha’	a shögwa ya’d a geh a’
o’sadaödö:’	o’ s ada ödö :’
ëödinö’kwë’	ë ödi nö’kwë’
gatga’gës	gatga’ gës
niaio’dëh	ni a io’dë h
etiya’dagehëh	eti ya’d a geh ëh
sajeä’ta’	s ajeä’t a’
deye’nyä:’	de ye ’nyä :’
ëgajo’dat	ë g ajo’dat
agwadade’gë’shö’	agw adade’ gë ’ shö’
niyënëda’s	ni y ënëda’ s
gya’da:’	g ya’d a :’
niyagwayëdeih	ni yagwa yëdei h
wa’eoö’	w a’eoö ’
niyökiyeha’	ni yöki ye ha’
ëgata’dö:’	ë ga ta’dö :’
akniögo’	akni ögo’
aesnyatgato’	ae sny atga to’
dayetišnye’	da yeti šnye ’
o’disninönyö:’	o’di sni nö nyö :’
aweo’da’	a weo’d a’
ëyagwadi’stäh	ë yagw adi’stä h
ahsahsawë’	a hs ahsawë ’
ga’sehdiyanoweh	ga ’sehdi yanoweh
awatga’	a watga’
ëyeya’dageha’	ë ye ya’d a geh a’
sajä:’dahgöh	s ajä:’d ahgöh
o’wënödiatödat	o’ wënö diatödat
ayakniya’dageha’	a yakni ya’d a geh a’
o’toknönyö:’	o’t ok nö nyö :’
aknöe’s	ak nöe’ s
aigëh	aigëh
hayë’he’s	ha yë’ he’ s
o’dwagya’dis	o’d wag ya’dis
o’jaknideni’	o’j akni deni’
hodinöhsodö’	hodi nöhsod ö’
geksa’ah	ge ksa’ ah
shögwashe’s	shögwa she’ s
hadiya’deönyö’	hadi ya’d eö nyö ’
nëgye:’	n ë g ye :’
esknishe:’	e skni she :’
nigëh	nigëh
waënödeyës	wa ënö de yës
aedwadöishë:’	ae dw adöi shë :’
ha’deyeya’diha’	ha’ de ye ya’diha’
niyögwaiwayëdahgök	ni yögwa iwa yë dahgö k
aehniya’k	ae hni ya’ k
ga’ah	ga’ah
sniyë’he’s	sni yë’ he’ s
ayagwatganya’t	a yagw at ganya’ t
o’sninöe’t	o’ sni nöe’ t
satga’	s atga’
deyonöwënyeh	de yonö wënye h
sagyëto’	sa g yë to’
wajënöni’	w ajënöni ’
o’tsdeni’	o’t s deni ’
knisgatgwë’s	kni sgatgwë’ s
ëwögatëhda:’	ë wög atëhda :’
niswayë’he’öh	ni swa yë’ he’ öh
waajë:’	wa ajë :’
shöknishe’s	shökni she’ s
nëwöje:’	n ë wö je :’
ëwöhji’gät	ë wö hji’gät
aknyahsaha’	akny ahsah a’
wëne’sgwa’	wën e’s gwa’
aesnyadawë’	ae sny adawë ’
dwadaödö:’	dw ada ödö :’
akihsot	aki hsot
dawageswa’dë’	da wage swa ’dë’
ëödinöe’t	ë ödi nöe’ t
ësnyatganye:’	ë sny at ganye :’
goya’dahdö’öh	go ya’dahdö’ öh
o’gajë:’	o’ g ajë :’
oihsa’	o ihs a’
öknyatgatwas	ökny atga twas
ëtshegödak	ë t she gödak
niyoshägeh	ni yo shä geh
wa’ögesgatgwëh	wa’ öge sgatgwë h
o’shedë:’	o’ she dë :’
snisgatgwë’s	sni sgatgwë’ s
waöwödiyenöwö’s	wa öwödi yenöwö’s
ëyaknyadeköni’	ë yakny ade köni ’
ayaknigo’	a yakni go’
awatganya’t	a w at ganya’ t
ënötganye:’	ënö t ganye :’
ajëönyanihshä’	ajëönyanih shä’
aesnyatgëh	ae sny atgë h
akyatšonyanö:’	a ky atšony anö :’
adöwë’	adöwë’
hadiödas	hadi ödas
saja’dawi’t	s aja’dawi’ t
eswayë’he’t	e swa yë’ he’ t
aköni’	a köni ’
o’jagwatak	o’j agw atak
o’gatga’	o’ g atga’
nijojeëh	ni jo je ëh
nödayagwe:’	nöda yagw e :’
hodiwawëh	hodi wawë h
ëösanön	ë ösa nön
nadiye:’	n adi ye :’
ëgahset	ë g ahset
nëwögasha:’t	n ë wög asha:’ t
ëshatadik	ë sha tadi k
da’deyöh	da’ de yö h
gahsaha’	ga hsah a’
o’gasgatgwëh	o’ ga sgatgwë h
o’sënö’geät	o’ s ënö’geät
agega’has	age ga’has
o’gahsawë’	o’ g ahsawë ’
onötgëöh	o nötgëö h
nëgaegë’	n ë ga e gë ’
honöhdëjöh	hon öhdëjö h
ëöhget	ë ö hget
kniya’s	kni ya’s
goya’dayei’öh	go ya’d a yei’ öh
keawakshö’	ke awak shö’
ëyagwatganya’t	ë yagw at ganya’ t
eshe:’	e she :’
jitöwëdöh	ji tö wëdö h
dawë:’	d a w ë :’
ögyadeo’	ögy adeo’
hea’	he a ’
oädöhgeh	o ädöh geh
yenösgwas	ye nös gwas
o’keyowi’	o’ ke y owi’
ëhseshe:’	ë hse she :’
da’ayötgweni’	da’ a yö t gweni ’
göwök	gö wök
snyadënota’	sny adëno ta’
ëgayëdetehšöni’	ë ga yëdetehšöni ’
ëgadinë’	ë g adinë ’
ganöwöyëhdö:’	ga nöwöyëhdö :’
sagaöhedas	sa gaö hed as
ësgya’dageha’	ë sg ya’d a geh a’
wa’ögyet	wa’ ö gyet
disnyahdëjöh	di sny ahdëjöh
hogëh	hogëh
ëödiyeis	ë ödi yei s
desgayëödähgöh	de s ga yëödähgöh
o’wënötšowi’	o’ wënö tšowi ’
ayë’hë’t	a yë ’hë’ t
ëswahdëdi’	ë sw ahdëdi’
o’kniyeä’dak	o’ kni yeä’dak
onenö’	o nen ö’
o’knisgatgwëh	o’ kni sgatgwë h
nayagwaje:’	n a yagw aje :’
yeyada:’	ye yada :’
tšiyagwaksa’shö’öh	tši yagwa ksa’ shö’öh
hënöta’dös	hënö ta’dö s
ëwödöni’	ë wö döni ’
aënöda’sën	aënö da ’sën
woya’datgëh	wo ya’d a tgë h
doja’dëdöh	d o ja’dëdöh
aosga’ah	aosga’ah
ge’döhsä’göh	ge ’döhsä’ göh
hodihšönih	hodi hšöni h
ëyögidë:’	ë yögi dë :’
nisajeëh	ni s aje ëh
wa’ökiyësdë’	wa’ öki yës dë’
o’gënöhdönyo:’	o’ g ënöhdö nyo :’
ayögeowi’	a yöge owi ’
dwahdëje’s	dw ahdëje’s
gogwëh	go gwë h
waögya’dägo’	wa ög ya’d ägo’
ëwënötšonyanö:’	ë wënö tšony anö :’
yeshe’s	ye she’s
ëwödi’no’t	ë w ö di’no’t
wadinösgwas	wadi nö sgwas
o’tënödi’stanega:’	o’t ënö di’sta nega :’
agegwenye’s	age gwenye’ s
ösadoöh	ösadoöh
ayöknyatgato’	a yökny at ga to’
hoënöyë’	ho ënö yë’
ëwödiyë’he’t	ë wödi yë’ he’ t
hakno’sëgëö’	hak no’së gëö’
hodiyë’he’öje’	hod iyë’ he’ ö je’
ahsade’go’	a hs ade’ go’
ayaknyatganye:’	a yakny at ganye :’
ëganenö:’	ë ga nenö :’
tšihsedehjih	tši hsedehjih
hehseshe’s	he hse she’ s
ayökninöe’t	a yökni nöe’ t
aedwashe:’	ae dwa she :’
dëdwawënye:’	d ë dwa wënye :’
o’shögwashe:’	o’ shögwa she :’
onönya’	o nöny a’
de’gyëdeih	de’ g yëdei h
ha’dedwaya’diha’	ha’ de dwa ya’di ha’
o’shenöe’t	o’ she nöe’ t
ha’dewënishäka:’	ha’ de w ënishä ka:’
hënötganyeh	hënö t ganye h
yea’danöwës	ye a’danöwë s
detonöhdëjös’öh	de tonö hdëjö s’ öh
de’shonöhdö’	de’ s honö hdö ’
aehnënöet	ae hnë nöet
daawi’	da a wi ’
o’seowi’	o’ se owi ’
ëyetinöhgwak	ë yeti nöhgwak
ehniyënëda’t	e hni yënëda’ t
ho’kë’	ho’ k ë ’
nëgayeök	n ë ga yeö k
snyahdëje’s	sny ahdëje’s
ëte:’	ë t e :’
sadiatödas	s adiatödas
oje’s	o je’s
honöja’dagëö’	honö ja’d a gëö’
gawënö’	ga wënö ’
heyëwödë’	he y ëwö dë’
sao’soägo’	sao’soägo’
ëöste’shö:’	ëö ste’shö :’
nö’önishe’t	n ö ’ö nishe’ t
kninöe’s	kni nöe’ s
wa’ögyö’se:’	wa’ ög yö’se :’
ahsatšonyanö:’	a hs atšony anö:’
o’dwadideni’	o’ d w adideni’
gëhögöshö’	g ëhögö shö’
deyoswëde’	de yo swëde’
ögwagwenye’s	ögwa gwenye’ s
ayöknishe:’	a yökni she :’
tgawenot	t ga weno t
o’keya’di’	o’ ke ya’di ’
akniköni’	a kni köni ’
todiyo’denyö’	t odi yo’de nyö ’
aösashe:’	a ösa she :’
waöwögë’	wa öwö gë ’
odö’öh	odö’öh
neogë’	neogë’
hoya’dayë’hisgöh	ho ya’d a yë’ his göh
wadiyashë’	wadi yashë ’
ëyögegë’	ë yöge gë ’
dëswadawënye:’	d ë sw ada wënye :’
jodiha:’kdöh	j odi ha:’kd öh
hedës	he dë s
daënöwënye:’	da ënö wënye :’
dawënötak	d a wënö tak
o’sesgatgwëh	o’ se sgatgwë h
ëyagwat	ë yagwa t
nisgowakneh	ni s gowak neh
dëswë’nyaë’	d ë sw ë’nya ë’
tših	tših
niyoisda’eh	ni yo isda ’eh
dodënönyö’	d o dënö nyö ’
waënidë:’	wa ëni dë :’
dasgawagë’t	d a s ga wagë’t
aösëdë:’	a ösë dë :’
ahša’k	a hš a’ k
wajesa’geh	w ajesa’geh
sdake’	s dake ’
ya’nih	y a’nih
nidwadih	ni dw adih
nëyönishe’t	n ë yö nishe’ t
daesnyadawënye:’	d ae sny ada wënye :’
aknigöë’	ak nigöë ’
sögwe’öweh	s ögwe ’öwe h
kenöe’öh	ke nöe’ öh
niyöh	ni yö h
wa’agyadiwago’	wa’ agy ad iwa go’
ënöjo:’dat	ënö jo:’dat
o’shagoya’dageha’	o’ shago ya’d a geh a’
o’sknigë’	o’ skni gë ’
gadawëh	g adawë h
hösadiyö’	h ösa di yö ’
yeadöhgwa’geh	ye adöh gwa’ geh
gagawihsa’	ga gawihs a’
awa’hödë’	a wa ’hö dë’
gaji’gayasdë:’	ga ji’gaya sdë :’
adešohgwa’shä’	adešohgwa’ shä’
ayatgëh	a y atgë h
ëdah	ëdah
gaya’dënyo’	ga ya’d ënyo’
höwöshe’s	höwö she’ s
nëhše:’	n ë hše :’
aedwaya’k	ae dwa ya’ k
hohodö’	hohodö’
aeswatga’	ae sw atga’
ëdwadeyës	ë dw ade yës
dashëönyö:’	d ashëönyö :’
nijagyöshön	ni j agy öshö n
ho’tšadawënye:’	ho’ tš adawënye :’
o’tgek	o’ t g e k
niyawëdetgäde’	ni y awëdetgäde ’
ëhsadënö’geät	ë hs adënö’geät
hadejë’s	h adejë’s
ögwanöe’öh	ögwa nöe’ öh
asgya’dageha’	a s g ya’d a geh a’
ögwatganyeh	ögw at ganye h
dëswatgweök	d ësw at gweö k
gonöe’s	go nöe’ s
ëyonödi’	ë yo nödi ’
niadiyehak	ni adi ye ha k
ögwawëh	ögwa wë h
snöge’	s nöge ’
dewagya’dowedöh	de wag ya’d owe döh
hëyea’	h ë y e a ’
de’shonöh	de’ s ho nöh
hadiwisdo’yas	hadi wisd o ’yas
shögwawih	shögwa wi h
tšionödeo’	tši onö deo ’
hëöweshö’	hëöwe shö’
ohiyo’	o h iyo ’
gokwanösde’	go kwa nösde ’
odikönih	odi köni h
ësnyajënöni’	ë sny ajënöni ’
ayagoyëda’k	a yago yë da ’k
aënöde’go’	a ënö de’ go’
ëyadënodë’	ë y adëno dë’
tsa’gajo’dat	tsa’ g ajo’dat
dösayadä’t	dösa y adä’t
ösadës	ösa dë s
sheswaya’dagehëh	sheswa ya’d a geh ëh
o’hasdëh	o ’hasdë h
odojëh	o dojë h
